,video game,username,date,score,review,rating
0,resident-evil-4,Ruboca,"Jul 15, 2023",0,"Muito ruim, porcaria, lixo, completo desastre, ruim de mais, pior jogo, arrependimento",Negative
1,resident-evil-4,marcusgrey,"Jul 14, 2023",10,eski nostaljiyi bozmadan hatta üstüne birşeyler ekleyerek bir şeyler yapımaya çalışılmış.süper,Positive
2,resident-evil-4,Residentevil22,"Jul 14, 2023",0,I really love the game Resident Evil! Leon is my favourite character. Thinking of buying the leather jacket that he wears!,Negative
3,resident-evil-4,Renaigse,"Jul 14, 2023",9,"Игра шикарная, отлично оптимизирована, при этом с хорошей графикой, для современной ААА индустрии два этих сочетания будто неисполнимы. Геймплей хорошо исполнен, особенно в первых двух основных локациях (деревня, замок). Остров же несколько сдал позиции по моему мнению, ибо резик превращается там в откровенный шутан, а как именно шутан игра работает так себе, в силу ограниченности патронов и самой механики прицеливания - стрельбы, игра банально медленная по своей сути (по сравнению с типичными шутерами), да и в целом этот отрезок не очень зашел. Однако деревня и замок играются отменно. Боссы в целом норм, но ничего особенного, только Краузер выделяется, с ним было интересно драться. Сюжет в целом окей, моментами интересно, но ничего головокружительного, в этой игре скорее геймплей на первом месте. Также стоит отметить разнообразность игры, тебе постоянно подкидывают новые ситуации и новых противников, заскучать от процесса здесь тяжело. В общем и целом, один из главных претендентов на игру года (на данный момент).",Positive
4,resident-evil-4,TylerPadilla,"Jul 13, 2023",10,"From start to finish I was fully erect. This is one of those instances where the game holds up and never lets down, at all. Brilliant touches upon the original masterpiece, they just crank it up to eleven on this. This is pure action goodness in every sense of the word.",Positive
5,resident-evil-4,Mohammadrstnm,"Jul 10, 2023",10,"Nice game i enjoyed that, highquality gameplay and graphics, good story and good action",Positive
6,resident-evil-4,viniciussawate,"Jul  3, 2023",10,"Resident Evil 4 Remake is a spectacular reimagining of one of the most iconic games of all time. Capcom has managed to modernize the classic survival gameplay with a spectacular new look, incredible sound and even more refined level design than the original. Gameplay is fluid and enjoyable, with precise and responsive controls. The graphics are stunning, with high-quality textures, amazing character modeling, and atmospheric lighting that helps create a constant sense of tension and terror. The soundtrack is brilliant, combining classic elements from the original game with new tracks that add more depth and emotion to the overall experience. The game even brings new areas, characters and plot elements that keep fans of the franchise on the edge of their seats. Resident Evil 4 Remake is a triumph, a worthy tribute to the original game that managed to surpass it in many ways. Capcom has delivered an incredible experience that is worth playing for both longtime fans of the series and those discovering it now. Highly recommended.",Positive
7,resident-evil-4,Lorran2k,"Jul  2, 2023",9,"Esse remake ficou muito bom, pra mim R4 é o melhor Resident Evil de todos, excelente jogo.",Positive
8,resident-evil-4,MyOwnOpinion230,"Jul  2, 2023",10,A fantastic remake that takes me back to my childhood.  Capcom went above and beyond for this game,Positive
9,resident-evil-4,HanSolo123,"Jul  1, 2023",6,"Never played the original, so I come unbiased to this mess.This is not a 2023 game, its clunky, not original, and you have to babysit Ashley for 1/2 of the game.I did not enjoy this game at all. Chapter 7 is by far the worst part, where you have to protect ashley (again) but this time w/ limited supplies and a **** ton of enemies.... Has no one tested this section before hand and realized: "" oh **** we should add some more ammo here ""  ?",Average
10,resident-evil-4,PanchiLoveShady,"Jun 28, 2023",9,"To be honest it's a 9,5. There are 2 thing that I didn't enjoyed. Minor issues with performance (could be my pc, not sure) and that the reason why I started loving RE is Village. Beautiful game and so lovely to play. Para ser sincero es un 9,5 por 2 motivos que no me gustaron. Algún problema de rendimiento ( pudiera ser mi pc, no estoy seguro) y que la razón por la que me encanta RE es Village. Un juego muy placentero de jugar.",Positive
